t_bin,time_s,power_w
477,119.25,2972.7253708825997
478,119.5,3005.9027448266315
479,119.75,3049.346274460497
480,120.0,2988.6021359256747
481,120.25,2976.4388943719323
482,120.5,3011.613041924294
483,120.75,3007.419766099865
484,121.0,3028.5532704576563
485,121.25,3047.426417757309
486,121.5,3005.9312680129246
487,121.75,3007.4092045950565
488,122.0,3079.402097725809
489,122.25,3098.401715515659
490,122.5,3024.7434327590154
491,122.75,3023.761252883195
492,123.0,3132.408153714737
493,123.25,3040.0901431502793
494,123.5,2971.962079973507
495,123.75,3008.4864351407346
496,124.0,3018.642521170442
497,124.25,3113.527410001433
498,124.5,3033.0643663613346
499,124.75,3066.687932875044
500,125.0,2942.6484967395622
501,125.25,3241.791899442187
502,125.5,3061.441693023623
503,125.75,3014.322968165079
504,126.0,2836.380831971362
505,126.25,3016.878824705533
506,126.5,2991.148653259193
507,126.75,3156.145813402815
508,127.0,3209.2186061999587
509,127.25,3180.4302001652222
510,127.5,3084.813813951691
511,127.75,3084.4559827416438
512,128.0,3166.232463960393
513,128.25,3030.355141185833
514,128.5,2945.668324049273
515,128.75,3185.135176834448
516,129.0,2948.8670582805535
517,129.25,3100.166339347032
518,129.5,3023.6675495319478
519,129.75,2992.862586042487
520,130.0,3000.183068796371
521,130.25,3066.595180092773
522,130.5,2963.9598059196933
523,130.75,2944.0247205349024
524,131.0,3041.643819144353
525,131.25,3088.147603821331
526,131.5,2999.3115070182275
527,131.75,3006.1457312083703
528,132.0,3081.665950237533
529,132.25,3099.1601353074584
530,132.5,3201.0668520748623
531,132.75,3151.3488653946342
532,133.0,3078.9382320347663
533,133.25,3015.8119276144416
534,133.5,3034.1676744495207
535,133.75,2994.9847591138982
536,134.0,3029.4189387442643
537,134.25,2976.2158338989357
538,134.5,2964.91162291553
539,134.75,3082.6661897665103
540,135.0,3073.7028710381737
541,135.25,2970.144000405282
542,135.5,3128.446106734874
543,135.75,3035.823657830993
544,136.0,3074.6049245039826
545,136.25,3026.29564700814
546,136.5,2996.000227043831
547,136.75,3091.611111806007
548,137.0,3128.2142599790554
549,137.25,3032.5620325656637
550,137.5,3074.70562967519
551,137.75,3006.887963937781
552,138.0,3034.2850768063468
553,138.25,2998.4547220879617
554,138.5,3087.3539297654925
555,138.75,2988.7506538564676
556,139.0,3115.4546273002643
557,139.25,3011.4027691303954
558,139.5,3050.8062113370365
559,139.75,3011.1242622422305
560,140.0,3107.8087740278634
561,140.25,3029.103691504777
562,140.5,2990.444883206388
563,140.75,3017.3755803771296
564,141.0,2939.2106240796284
565,141.25,2994.6054504996987
566,141.5,3019.2168852171117
567,141.75,2939.2061385431107
568,142.0,3085.4582824224567
569,142.25,2952.4868889381974
570,142.5,3011.9956887746876
571,142.75,3014.8771436778056
572,143.0,3038.528602827726
573,143.25,3044.8313821860615
