t_bin,time_s,power_w
413,103.25,2942.4647402644573
414,103.5,2707.1876096135147
415,103.75,2019.481902565034
416,104.0,1898.9832327279146
417,104.25,1879.5228476247385
418,104.5,2273.225922584223
419,104.75,2953.63317948723
420,105.0,2949.618193734619
421,105.25,2941.172656970076
422,105.5,2946.998008270393
423,105.75,3015.214198478289
424,106.0,2961.6380071946983
425,106.25,2962.701465847064
426,106.5,2920.3741211129122
427,106.75,3037.631484762756
428,107.0,2912.3232850795116
429,107.25,2967.362037998995
430,107.5,2935.2288289599596
431,107.75,3028.925468813711
432,108.0,2980.462563085966
433,108.25,2974.9264518824943
434,108.5,2968.6764586683407
435,108.75,2960.247744526159
436,109.0,2941.346741563433
437,109.25,2963.0489536497594
438,109.5,2940.531409227888
439,109.75,2956.2232618063704
440,110.0,2926.3021043280223
441,110.25,2973.2222367890286
442,110.5,2968.2289033660595
443,110.75,2972.1375646749557
444,111.0,2936.410691137886
445,111.25,3000.1281853223786
446,111.5,3003.6268301493437
447,111.75,3014.1355333663478
448,112.0,2942.480413993949
449,112.25,3007.121497242581
450,112.5,3097.417339993529
451,112.75,2979.3836118575723
452,113.0,2934.0542291302318
453,113.25,2901.3450846228457
454,113.5,2964.7196847934993
455,113.75,2952.0625291459237
456,114.0,3019.7701614314237
457,114.25,2966.2923303016087
458,114.5,2924.6996433882714
459,114.75,2954.705649358705
460,115.0,3009.4547596135762
461,115.25,3024.163640767938
462,115.5,3042.5802335400517
463,115.75,2952.988496564916
464,116.0,2931.0402679167555
465,116.25,2984.6840224900347
466,116.5,2970.9482782718273
467,116.75,2947.620035580655
468,117.0,2906.7555376771506
469,117.25,2996.5658505798524
470,117.5,2956.346743412832
471,117.75,2966.6214002027777
472,118.0,3004.0682321600716
473,118.25,3025.086396803164
474,118.5,2936.3507234191657
475,118.75,3006.276960550467
476,119.0,2966.0545629678095
477,119.25,3009.554185403728
478,119.5,2955.991945438105
479,119.75,2974.715620378417
480,120.0,3040.0517856272745
481,120.25,2937.341291729583
482,120.5,3009.8512276379297
483,120.75,2986.4531079472
484,121.0,2986.87192580964
485,121.25,3021.7999751351585
486,121.5,3003.927908203547
487,121.75,2974.855479575357
488,122.0,2965.6689630403725
489,122.25,2996.937582225389
490,122.5,2944.1988390527004
491,122.75,3024.286913250911
492,123.0,2962.2507370446056
493,123.25,3013.941073852024
494,123.5,2971.8159003869155
495,123.75,2966.497795737217
496,124.0,2936.991998518847
497,124.25,2984.3463081822815
498,124.5,2895.995502487207
499,124.75,2985.666463012971
500,125.0,2955.721382336531
501,125.25,3017.616090174254
502,125.5,2967.607831876934
503,125.75,2950.1440249424304
504,126.0,2914.6049405598997
505,126.25,2969.4088439999214
506,126.5,3036.9780396122183
507,126.75,2965.2974740675227
508,127.0,2543.6393728667135
509,127.25,2592.445127013737
510,127.5,2234.435565281938
511,127.75,2674.4512373140783
512,128.0,3034.53764403419
513,128.25,2956.7238367366717
514,128.5,2957.6102923070325
515,128.75,2889.029952876733
516,129.0,2438.4404600186003
517,129.25,1926.4151100560564
518,129.5,1187.6026830357662
519,129.75,952.2536340285568
520,130.0,957.9164813282949
521,130.25,947.8859048722239
522,130.5,938.5504447502404
523,130.75,954.6255915979137
524,131.0,953.5986735241565
525,131.25,969.8663616196523
526,131.5,1415.6264446128707
527,131.75,1614.2805442227734
528,132.0,2047.4402837362225
529,132.25,2257.359699650727
530,132.5,2929.0088537546044
531,132.75,2945.285405917903
532,133.0,2945.2888326322063
533,133.25,3021.9595895656926
534,133.5,2955.430788410457
535,133.75,2994.589630342867
536,134.0,2947.1302097264224
537,134.25,2979.8405688424687
538,134.5,3018.2478384573733
539,134.75,2935.9595548742386
540,135.0,2957.8533310094426
541,135.25,2981.1785171978286
542,135.5,3001.761901199098
543,135.75,2950.7999385130092
544,136.0,2411.1127417030298
545,136.25,1862.6802163380953
546,136.5,1640.9453726670217
