timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total
1784422684.761478,1.0,0.0,0.0002796197171845982,1553.0,95.0,1648.0,95.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422685.0154083,2.0,0.0,0.0009187504993208861,1760.0,139.0,1899.0,128.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422685.269689,4.0,0.0,0.0013182072381561216,1794.0,250.0,2044.0,160.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422685.5237935,4.0,0.0,0.0016777183031078113,1794.0,382.0,2176.0,193.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422685.7776911,4.0,0.0,0.0019972836941759553,1794.0,510.0,2304.0,225.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422686.0313993,5.0,0.0,0.004394024127187035,2609.0,665.0,3274.0,256.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422686.285355,5.0,0.0,0.004833426539905705,2609.0,830.0,3439.0,289.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422686.5393088,6.0,0.0,0.0054326116481585585,2658.0,1021.0,3679.0,322.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422686.7934935,6.0,0.0,0.005911959734760774,2658.0,1219.0,3877.0,355.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422687.047072,7.0,0.0,0.010226092514180718,4182.0,1407.0,5589.0,383.0,0.14069590158760548,0.2554558990523219,0.0,0.0,0.0
1784422687.3010373,6.0,0.0,0.006710873212431134,4629.0,1631.0,6260.0,414.0,0.18860335927456617,2.937684154137969,0.0,0.0,0.0
1784422687.5549202,8.0,0.0,0.007709515059519001,4799.0,1844.0,6643.0,446.0,0.18860335927456617,2.937684154137969,0.0,0.0,0.0
1784422687.8092115,8.0,0.0,0.015259247423504041,7803.0,2031.0,9834.0,470.0,0.19770572846755385,3.0459369788877666,0.0,0.0,0.0
1784422688.0630405,8.0,0.0,0.01669729168331069,8208.0,2259.0,10467.0,501.0,0.20562963746488094,3.51612264290452,0.0,0.0,0.0
1784422688.316998,9.0,0.0,0.017456259487097503,8220.0,2541.0,10761.0,533.0,0.20562963746488094,3.51612264290452,0.0,0.0,0.0
1784422688.5717888,9.0,0.0,0.018135335943117337,8220.0,2820.0,11040.0,564.0,0.20562963746488094,3.51612264290452,0.0,0.0,0.0
1784422688.8257961,7.0,0.0,0.016377726292242545,8220.0,3083.0,11303.0,595.0,0.2275564013980329,7.83677871664986,0.0,0.0,0.0
1784422689.0803823,6.0,0.0,0.009027722297675123,9027.0,3300.0,12327.0,625.0,0.32481149351224303,9.196160500403494,0.0,0.0,0.0
1784422689.3345447,5.0,0.0,0.008108971798354236,9027.0,3488.0,12515.0,657.0,0.33294578082859516,13.455347199458629,0.0,0.0,0.0
1784422689.58848,4.0,0.0,0.006750818886314569,9027.0,3622.0,12649.0,690.0,0.3417885657399893,18.507405982818455,0.0,0.0,0.0
1784422689.8432646,5.0,0.0,0.007389949668450857,9387.0,3785.0,13172.0,723.0,0.3521330589428544,18.53844502894208,0.0,0.0,0.0
1784422690.0970604,9.0,0.0,0.009906527123112574,10146.0,3985.0,14131.0,754.0,0.3521330589428544,18.53844502894208,0.0,0.0,0.0
1784422690.351053,10.0,0.0,0.009067667971558668,10175.0,4279.0,14454.0,786.0,0.3726240177638829,18.65682033309713,0.0,0.0,0.0
1784422690.6049826,9.0,0.0,0.006351362147479445,10175.0,4595.0,14770.0,819.0,0.3964171828702092,23.3589880829677,0.0,0.0,0.0
1784422690.8590033,8.0,0.0,0.005552448669809085,10175.0,4877.0,15052.0,851.0,0.4059227560646832,27.823694397695363,0.0,0.0,0.0
1784422691.112699,7.0,0.0,0.0038347846928177276,10175.0,5107.0,15282.0,883.0,0.41961429780349135,31.560627395752817,0.0,0.0,0.0
1784422691.366715,7.0,0.0,0.003475273627866149,10389.0,5352.0,15741.0,915.0,0.437466636300087,34.71441096672788,0.0,0.0,0.0
1784422691.6206245,6.0,0.0,0.003794839018934293,10389.0,5574.0,15963.0,947.0,0.4456611853092909,35.202570487745106,0.0,0.0,0.0
1784422691.8740804,6.0,0.0,0.004274187105536509,10389.0,5766.0,16155.0,979.0,0.4456611853092909,35.202570487745106,0.0,0.0,0.0
1784422692.1283772,6.0,0.0,0.0046336981704880875,10578.0,5952.0,16530.0,1010.0,0.45373813109472394,36.97801675880328,0.0,0.0,0.0
