timestamp_s,tokens_in
3090.0,221808.0000000015
3105.0,253665.99999999785
3120.0,234644.00000000017
3135.0,230336.00000000012
3150.0,229642.0000000014
3165.0,249550.00000000128
3180.0,242929.9999999972
3195.0,203429.00000000146
3210.0,220681.99999999919
3225.0,257065.99999999948
3240.0,262955.9999999989
3255.0,252521.9999999972
3270.0,234282.00000000402
3285.0,232999.99999999593
3300.0,277515.00000000093
3315.0,265970.0000000046
3330.0,265002.99999999837
3345.0,247144.99999999878
3360.0,255898.00000000518
3375.0,254646.9999999961
3390.0,220290.00000000064
3405.0,234351.00000000262
3420.0,236471.99999999534
3435.0,263369.00000000186
3450.0,264976.0
3465.0,228635.00000000175
3480.0,233712.99999999593
3495.0,226431.0000000021
3510.0,234448.99999999919
3525.0,226765.00000000116
3540.0,209912.00000000093
3555.0,237743.00000000105
3570.0,229818.99999999814
3585.0,240001.9999999936
3600.0,230205.00000001222
3615.0,220779.99999999162
3630.0,250673.00000000244
3645.0,255162.99999999872
3660.0,222791.0
3675.0,261449.00000000198
3690.0,239999.99999999418
3705.0,220375.00000000547
3720.0,236249.99999999744
3735.0,227891.0000000014
3750.0,220790.99999999942
3765.0,246461.00000000373
3780.0,229113.99999999837
3795.0,268431.0000000001
3810.0,226984.0000000057
3825.0,229066.99999999325
3840.0,260855.9999999985
3855.0,243734.00000000175
3870.0,226838.0000000028
3885.0,201164.99999999627
3900.0,268167.0000000007
3915.0,254940.0000000021
3930.0,222314.99999999662
3945.0,246941.00000000163
3960.0,245922.99999999965
3975.0,243802.99999999977
3990.0,238019.99999999988
4005.0,235937.00000000233
4020.0,277120.9999999987
4035.0,252568.99999999965
4050.0,250285.99999999732
4065.0,247841.00000000966
4080.0,230560.99999999313
4095.0,217503.00000000128
4110.0,213049.99999999744
4125.0,228163.0000000093
4140.0,252220.9999999922
4155.0,258084.00000000338
4170.0,272395.99999999837
4185.0,275543.000000002
4200.0,238202.9999999879
4215.0,265073.0000000022
4230.0,264145.0000000043
4245.0,213170.99999999767
4260.0,260218.00000002014
4275.0,247374.99999998894
4290.0,206932.99999999697
4305.0,243103.99999999464
4320.0,255751.000000005
4335.0,270885.0
4350.0,272398.999999998
4365.0,265675.99999999173
4380.0,255075.00000000966
4395.0,236400.99999999895
4410.0,242648.00000001735
4425.0,249314.99999998428
4440.0,241762.99999999767
4455.0,248409.00000000058
4470.0,226654.99999999825
4485.0,256303.0000000029
4500.0,231853.99999999977
4515.0,225135.99999999185
4530.0,257606.00000001676
4545.0,223597.99999998882
4560.0,249164.00000000698
4575.0,227915.99999999139
4590.0,259219.00000001106
4605.0,246942.99999999464
4620.0,241385.99999999895
4635.0,236524.99999999825
4650.0,253909.99999997823
4665.0,233715.0000000219
4680.0,209934.00000000093
4695.0,261648.9999999993
4710.0,230079.9999999972
4725.0,215684.00000000407
4740.0,240430.00000000093
4755.0,260406.9999999965
4770.0,229374.99999999593
4785.0,253099.00000000827
4800.0,243112.99999999383
4815.0,202705.00000000815
4830.0,242874.99999999278
4845.0,219575.00000000827
4860.0,240652.99999999476
4875.0,221103.00000001
4890.0,224628.99999998894
4905.0,221436.00000000943
4920.0,267428.99999998754
4935.0,222973.0000000029
4950.0,242290.00000000314
4965.0,252427.99999999825
4980.0,257038.99999999476
4995.0,215385.99999999336
5010.0,242545.0000000114
5025.0,256328.99999999977
5040.0,234770.00000000012
5055.0,244952.99999999686
5070.0,254522.00000000547
5085.0,251714.99999999953
5100.0,238439.99999999919
5115.0,241575.99999999872
5130.0,204845.99999998906
5145.0,232011.00000001083
5160.0,230256.00000000163
5175.0,267183.9999999936
5190.0,242129.0000000056
5205.0,256780.99999999546
5220.0,223506.00000000314
5235.0,212938.0000000007
5250.0,240580.99999999802
5265.0,245733.0000000021
5280.0,241127.99999999627
5295.0,225050.0000000036
5310.0,206994.99999999977
5325.0,242993.00000000454
5340.0,233725.99999999406
5355.0,233790.0000000029
5370.0,254554.00000000186
5385.0,246872.9999999936
5400.0,207368.00000000664
5415.0,263400.9999999951
5430.0,250589.99999999756
5445.0,230300.99999999884
5460.0,230086.00000001374
5475.0,221200.9999999816
5490.0,218802.0000000219
5505.0,254435.99999998685
5520.0,217830.9999999958
5535.0,255032.00000000233
5550.0,264561.9999999987
5565.0,220766.99999999756
5580.0,252859.00000000745
5595.0,233796.00000000093
5610.0,243070.9999999971
5625.0,250015.00000000384
5640.0,233839.99999999977
5655.0,239267.99999999
5670.0,266006.0000000064
5685.0,228507.00000000035
5700.0,255089.0
5715.0,247234.99999999604
5730.0,233060.00000000396
5745.0,212491.99999998976
5760.0,246078.00000001665
5775.0,237787.99999998894
5790.0,227148.99999999977
5805.0,230884.00000000605
5820.0,245573.00000000163
5835.0,257818.99999999092
5850.0,226713.99999999884
5865.0,262118.00000000652
5880.0,266583.99999999953
5895.0,226981.00000000233
5910.0,258678.00000000733
5925.0,260822.99999998894
5940.0,233719.00000000186
5955.0,243333.99999999907
5970.0,227319.00000000466
5985.0,273413.9999999915
6000.0,228486.00000000722
6015.0,232014.99999998987
6030.0,239057.00000000861
6045.0,258330.99999999173
6060.0,265762.00000000757
6075.0,272190.0000000028
6090.0,234766.99999999872
6105.0,266773.9999999993
6120.0,228479.00000000081
6135.0,219768.00000000012
6150.0,243802.99999999627
6165.0,245478.0000000049
6180.0,243767.99999999965
6195.0,234574.99999999022
6210.0,258831.00000000698
6225.0,244687.00000001607
6240.0,234827.99999998603
6255.0,258115.00000000757
6270.0,244080.99999999348
6285.0,253780.00000000058
6300.0,216308.00000000524
6315.0,273647.9999999928
6330.0,254991.99999999977
6345.0,246928.99999999558
6360.0,226293.0000000093
6375.0,258165.99999999488
6390.0,228332.00000000163
6405.0,241966.99999999476
6420.0,219750.00000000373
6435.0,240784.00000000047
6450.0,268536.99999999907
6465.0,240578.00000000768
6480.0,226425.99999999476
6495.0,244027.9999999901
6510.0,240542.00000000792
6525.0,260950.99999999814
6540.0,251040.99999999232
6555.0,252777.00000000687
6570.0,245864.0000000063
6585.0,263714.99999999173
6600.0,232538.00000000198
6615.0,246076.00000000966
6630.0,255107.99999999104
6645.0,223417.00000000175
6660.0,251254.00000000047
6675.0,251988.00000000268
6690.0,239556.99999999057
6705.0,256521.00000000407
6720.0,249015.9999999872
6735.0,238058.00000001525
6750.0,228842.99999999988
6765.0,255627.00000000338
6780.0,258616.9999999929
6795.0,253600.00000000442
6810.0,243420.9999999858
6825.0,237315.0000000134
6840.0,208580.00000000081
6855.0,228705.0000000022
6870.0,230291.99999999476
6885.0,225904.00000000198
6900.0,215399.00000000081
6915.0,242383.9999999986
6930.0,226841.99999999988
6945.0,245620.99999999313
6960.0,252268.00000000698
6975.0,279280.000000002
6990.0,261054.9999999972
7005.0,238511.00000000163
7020.0,238140.99999999814
7035.0,223173.00000000466
7050.0,246655.99999999697
7065.0,241745.0000000063
7080.0,281923.00000000186
7095.0,257363.99999999208
7110.0,227467.00000000093
7125.0,241661.00000000233
7140.0,279034.0000000023
7155.0,236939.99999999255
7170.0,234332.00000000186
7185.0,214817.9999999986
7200.0,83263.00000000116
