t_bin,time_s,power_w
384,96.0,1154.5693791250776
385,96.25,1155.8697949806576
386,96.5,1158.1302558463888
387,96.75,1153.9917708037801
388,97.0,638.2780669172112
389,97.25,640.7881600947583
390,97.5,642.8485649283904
391,97.75,638.6386508362348
392,98.0,640.7141706794126
393,98.25,641.7268429654491
394,98.5,557.3143849911517
395,98.75,515.0016138889315
396,99.0,519.5826282284473
397,99.25,519.1564152396637
398,99.5,517.3444001865186
399,99.75,517.7664965234211
400,100.0,515.9093152225774
401,100.25,515.2756304174857
402,100.5,517.71576572618
403,100.75,515.1274400413907
404,101.0,518.5734464588347
405,101.25,516.2845521779612
406,101.5,517.6784070748276
407,101.75,520.0395136660716
408,102.0,519.9716957661149
409,102.25,516.8694436325426
410,102.5,696.0004220244872
411,102.75,515.7783460544747
412,103.0,516.4175131432214
413,103.25,650.838676114529
414,103.5,643.5477008677886
415,103.75,636.0112078246532
416,104.0,661.8661949987878
417,104.25,638.6054990196868
418,104.5,823.8016038871281
419,104.75,1155.6519596668613
420,105.0,1168.9357864247634
421,105.25,1221.855501852909
422,105.5,1160.8204465429494
423,105.75,1073.6143709023793
424,106.0,1063.427330915163
425,106.25,1076.2305010167815
426,106.5,1168.961009309822
427,106.75,1169.7260378824365
428,107.0,1167.4114776732847
429,107.25,1152.9389396679683
430,107.5,1151.950446227668
431,107.75,1063.092354621122
432,108.0,1149.3269543672584
433,108.25,1150.23304852996
434,108.5,1164.7792359626965
435,108.75,1168.6080540580167
436,109.0,635.7252895970794
437,109.25,641.3083258305298
438,109.5,633.3170399643167
439,109.75,636.9285637864153
440,110.0,634.3484000824162
441,110.25,631.9109874003046
442,110.5,638.3835882166621
443,110.75,638.4739491697809
444,111.0,636.6013841580525
445,111.25,636.1526581342918
446,111.5,858.7016749070627
447,111.75,617.290737104406
448,112.0,635.8460261812357
449,112.25,641.4114018084384
450,112.5,633.5095943368494
451,112.75,1158.4666577493017
452,113.0,1160.7787802038024
453,113.25,1166.7405658363691
454,113.5,1165.171188231571
455,113.75,1158.1543745217198
456,114.0,1151.0272550923605
457,114.25,1141.6650313342507
458,114.5,1224.0826258609247
459,114.75,1077.3251817172063
460,115.0,1170.1120482897766
461,115.25,1139.263966662233
462,115.5,1150.4033452128006
463,115.75,1153.7141446190103
464,116.0,1148.0779564548773
465,116.25,638.8494154890332
466,116.5,638.2787907780613
467,116.75,591.7603077942179
468,117.0,1156.2740656418532
469,117.25,1143.570743329583
470,117.5,1061.7427170581211
471,117.75,567.1106444962193
472,118.0,683.5857887409326
473,118.25,1143.2800962083418
474,118.5,1333.0000571802934
475,118.75,1162.910919133141
476,119.0,1156.1169647367703
477,119.25,1251.355080107807
478,119.5,1151.229584505826
479,119.75,639.8047705772069
480,120.0,641.6134009124221
481,120.25,646.740438835252
482,120.5,640.9344334149067
483,120.75,643.6388273181675
484,121.0,638.1763815126191
485,121.25,638.5147122482479
486,121.5,644.1913958811915
487,121.75,518.069940952706
488,122.0,519.2763332465094
489,122.25,671.7429639074728
490,122.5,520.2929294830615
491,122.75,520.6711547657907
492,123.0,516.0274808940236
493,123.25,519.9181634892292
494,123.5,517.8637370042037
495,123.75,517.9266604050638
496,124.0,517.0731426573723
497,124.25,518.2783061211012
498,124.5,515.6379972452278
499,124.75,516.1944139060893
500,125.0,516.1414884065632
501,125.25,517.6641893328931
502,125.5,518.5774405006172
503,125.75,518.3125647151495
504,126.0,517.7822498128737
505,126.25,516.3959772547827
506,126.5,514.7117864163548
507,126.75,517.8360830562756
508,127.0,517.4646242837059
509,127.25,517.7705802479403
510,127.5,519.3159063848958
511,127.75,614.9078016284753
512,128.0,637.433846936323
513,128.25,513.9128312224274
514,128.5,518.0636694982803
515,128.75,985.1085100587511
516,129.0,635.3618827764005
517,129.25,1043.0977810262439
518,129.5,1148.2191522249846
519,129.75,1152.3225831236152
520,130.0,1081.0578822199304
521,130.25,1073.1450645079096
522,130.5,1074.2804537434192
523,130.75,1073.1225462420625
524,131.0,1072.4251913774049
525,131.25,1069.4889394887027
526,131.5,1083.1556627187233
527,131.75,1067.7356792823887
528,132.0,1073.02010496328
529,132.25,1066.781910205714
530,132.5,1065.9112362924855
531,132.75,1052.2710803780142
532,133.0,1160.3644854769586
533,133.25,1078.3122144793147
534,133.5,1077.9210823202338
535,133.75,1065.3321150592947
536,134.0,638.0599827645854
537,134.25,1072.1825477707032
538,134.5,634.3403943580287
539,134.75,645.0091703854364
540,135.0,634.159106825563
541,135.25,635.3910803242437
542,135.5,627.500726955662
543,135.75,644.0163626989914
544,136.0,638.3901257979006
545,136.25,519.5806425931223
546,136.5,515.790480709057
547,136.75,517.7247656730754
548,137.0,517.3439887033686
549,137.25,517.5231684602755
550,137.5,520.2308312367841
551,137.75,520.5065522493323
552,138.0,519.2255613699544
553,138.25,516.6550133547868
554,138.5,518.5232835553775
555,138.75,713.2308456037343
556,139.0,518.0387517230048
557,139.25,518.0546390958829
558,139.5,517.9279941495362
559,139.75,515.930626164372
560,140.0,517.585390092754
561,140.25,519.5461308854631
562,140.5,515.7931242169814
563,140.75,517.3483318169343
