hardware,heldout_family,model,tp,rate,measured_mean_w,predicted_mean_w,bin_mape_pct
H100,dense-8b,llama-3-8b,4,0.125,554.9628857770456,671.7456926373969,24.44829129953419
H100,dense-8b,llama-3-8b,4,0.25,638.8468539165237,794.4141180862972,32.36966922007081
H100,dense-8b,llama-3-8b,4,0.25,639.6218982275586,795.4915170415741,32.56959310156925
H100,dense-8b,llama-3-8b,4,0.5,762.7650041390729,933.5493659476331,33.02759644816978
H100,dense-8b,llama-3-8b,4,0.5,763.5188438189846,930.9184730880079,32.64139172394751
H100,dense-8b,llama-3-8b,4,1,938.0713040503558,1094.0463109480359,31.041421943548396
H100,dense-8b,llama-3-8b,4,1,942.8791543513958,1097.7303432081678,31.436905285187215
H100,dense-8b,llama-3-8b,4,2,1134.2789939692982,1204.5391202848527,15.350635797490506
H100,dense-8b,llama-3-8b,4,2,1132.3969257127192,1209.5400803651764,15.9010397566444
H100,dense-8b,llama-3-8b,4,4,1286.558691626409,1310.5386568736674,6.730980944562444
H100,dense-8b,llama-3-8b,4,4,1283.1640378421898,1314.5626440294989,6.969544797052815
H100,dense-8b,llama-3-8b,8,0.125,1052.6733621636463,1233.5268752730794,18.816456271131074
H100,dense-8b,llama-3-8b,8,0.125,1047.7084102141678,1233.261987458773,19.472174970972333
H100,dense-8b,llama-3-8b,8,0.25,1156.246991137793,1357.000729633232,23.137721241078598
H100,dense-8b,llama-3-8b,8,0.25,1149.025277301315,1360.2656696363094,24.01972904637504
H100,dense-8b,llama-3-8b,8,0.5,1312.306764624724,1510.996202764087,23.351153143726442
H100,dense-8b,llama-3-8b,8,0.5,1307.653696192053,1512.2875419784025,24.115856243795818
H100,dense-8b,llama-3-8b,8,1,1540.3992569786535,1692.6875425235792,22.454596290105723
H100,dense-8b,llama-3-8b,8,1,1534.4981650246307,1696.2145605607093,22.755226765791473
H100,dense-8b,llama-3-8b,8,2,1800.6427467105264,1825.2200727831246,13.89431449702018
H100,dense-8b,llama-3-8b,8,2,1795.3959964364035,1830.7787068032492,14.251062318915828
H100,dense-8b,llama-3-8b,8,4,2028.8965981182796,1929.562759854031,7.901791043357045
H100,dense-8b,llama-3-8b,8,4,2021.1319596774192,1935.9589478911141,7.73354572750897
