timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total
1784658670.3785243,2.0,0.0,0.058563227555413766,794824.0,21033.0,815857.0,4221.0,21.69702124595642,421.097448900342,0.0,794824.0,694640.0
1784658670.6369238,2.0,0.0,0.058603093605485546,794824.0,21043.0,815867.0,4226.0,21.69702124595642,421.097448900342,0.0,794824.0,694640.0
1784658670.8934515,3.0,0.0,0.13697974804656354,826233.0,21088.0,847321.0,4241.0,21.69702124595642,421.097448900342,0.0,826233.0,724912.0
1784658671.1505694,3.0,0.0,0.13709934619677877,826233.0,21130.0,847363.0,4255.0,21.69702124595642,421.097448900342,0.0,826233.0,724912.0
1784658671.4095383,3.0,0.0,0.1372189443469941,826233.0,21175.0,847408.0,4270.0,21.69702124595642,421.097448900342,0.0,826233.0,724912.0
1784658671.6676188,3.0,0.0,0.13729867644713767,826233.0,21220.0,847453.0,4285.0,21.69702124595642,421.097448900342,0.0,826233.0,724912.0
1784658671.9265194,2.0,0.0,0.05896188805613145,826233.0,21259.0,847492.0,4300.0,21.890608172863722,422.281808687374,0.0,826233.0,724912.0
1784658672.1821003,2.0,0.0,0.05908148620634668,826233.0,21295.0,847528.0,4318.0,21.890608172863722,422.281808687374,0.0,826233.0,724912.0
1784658672.4398723,2.0,0.0,0.05916121830649024,826233.0,21331.0,847564.0,4336.0,21.890608172863722,422.281808687374,0.0,826233.0,724912.0
1784658672.697922,2.0,0.0,0.059240950406633686,826233.0,21365.0,847598.0,4353.0,21.890608172863722,422.281808687374,0.0,826233.0,724912.0
1784658672.9568007,1.0,0.0,0.023441237442194174,826233.0,21397.0,847630.0,4372.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658673.2135384,1.0,0.0,0.023481103492265953,826233.0,21416.0,847649.0,4391.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658673.471041,1.0,0.0,0.023560835592409513,826233.0,21436.0,847669.0,4411.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658673.7292988,1.0,0.0,0.023600701642481292,826233.0,21456.0,847689.0,4431.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
